Rank,Last Year Rank,University,Teaching quality (%),Student experience (%),Research quality (%),Entry standards (Ucas pts),Graduate prospects (%),Firsts/2:1s (%),Completion rate (%),Student-staff ratio,Services/ facilities spend (pounds),Total
1,1,University of Cambridge,83.8,86.3,57.3,602,89.3,89.3,98.4,11.3,3432,1000
2,1,University of Oxford,83.1,86.8,53.1,573,87.1,92.1,96.3,10.6,3229,974
3,4,Imperial College London,79.8,87.8,56.2,568,91.1,87.3,96.5,11.3,2974,886
4,3,University of St Andrews,83.2,86.8,40.4,517,83.3,89.6,95.3,11.4,2572,876
5,6,Durham University,81.9,86.7,39,523,84.4,87.4,96.6,14.9,2648,860
6,8,University of Warwick,79.6,85,44.6,482,79.8,82.3,96.7,12.6,2505,813
7,7,University of Exeter,82.6,87.7,38,463,79.8,84.1,95.7,15.6,2559,810
8,11,University of Surrey,86.9,90.3,29.7,424,78.8,78.9,92.2,13.7,2487,805
9,5,London School of Economics and Political Science,72.1,78.4,52.8,533,78.5,82.1,94.8,11.4,2584,802
10,9,University College London,74.2,81.3,51,502,83.1,87.9,94.6,10.3,2608,800
11,12,Lancaster University,82.3,85.4,39.1,436,82.5,76.9,93.5,13.7,2566,799
12,10,University of Bath,82.7,87,37.3,479,85.2,84.1,96.1,16.2,2023,792
13,13,Loughborough University,84.5,89.3,36.3,397,83.7,79.8,93.2,14.7,2339,791
14,17,University of Leeds,83.7,88,36.8,431,78.4,82.2,93.5,13.6,2418,779
15,16,University of York,81.7,86.6,38.3,437,76,81.6,94.3,14.7,2163,756
16,18,University of Southampton,79.3,86.5,44.9,411,78.1,80.4,92.5,12,2221,755
17,15,University of Birmingham,80.8,84.2,37.1,426,86.7,84.4,94.8,15.5,2461,751
18,14,University of East Anglia,83.2,88.8,35.8,408,70.3,78.8,91.9,13.7,2378,743
19,25,University of Sussex,78.6,85,31.8,386,84.1,78.6,92.9,15.5,2618,738
20,19,University of Bristol,75.5,81.5,47.3,487,79.6,86.3,96.6,13.7,1976,720
21,21,University of Sheffield,81.3,87.2,37.6,428,75.7,80.4,94.4,14.9,2031,718
22,22,University of Edinburgh,74.5,82.4,43.8,484,78.6,83,91.3,12.2,2052,716
23,30,University of Kent,81.5,85.4,35.2,363,76.7,80,90.7,12.9,1513,713
23,22,Newcastle University,82,88.4,37.7,424,79.1,79.2,95.1,15.6,1807,713
25,22,University of Nottingham,79.5,83.9,37.8,428,81.3,79.3,93.2,14,2055,710
26,26,University of Glasgow,80,86.9,39.9,470,79.3,77.8,88.4,14.7,2142,704
27,29,King's College London,73.9,79.7,44,455,85.7,83.2,92.8,11.3,2198,699
28,20,University of Leicester,77.5,84.4,31.8,386,72.1,78.3,92.5,12.2,2600,695
28,28,University of Manchester,79,84.7,39.8,435,78.5,75.7,92.9,13.2,1926,695
30,34,Aston University Birmingham,83.3,87.9,25.8,369,78.8,75.1,90.9,15.5,1997,693
31,38,"Queen's University, Belfast",81.6,87.3,39.7,385,78.7,75.8,91,14.9,1996,688
32,33,University of Reading,80.5,85.8,36.5,373,70.3,76.2,92.3,14.1,1900,687
33,27,Cardiff University,80.7,86,35,426,80.1,77.8,93.4,14.2,1638,685
34,37,"Queen Mary, University of London",80.5,83.3,37.9,411,73.3,75.3,91.2,12.2,2347,681
35,32,University of Essex,83.7,88,37.2,313,64.1,68.9,85.6,15.1,2574,674
